date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:48	164604/164604	---M--	200	added ('OK')	application/pdf	etag:%22282fc-42d17d487a600%22	http://www.normalesup.org/~sage/Colles/AnalVectFonc/TopoMat.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/AnalVectFonc/TopoMat.pdf	(from http://www.normalesup.org/~sage/Colles/AnalVectFonc/index.html)
22:19:50	136432/136432	---M--	200	added ('OK')	application/pdf	etag:%22214f0-4210a27257b40%22	http://www.normalesup.org/~sage/Colles/Geom/GpeSym.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/Geom/GpeSym.pdf	(from http://www.normalesup.org/~sage/Colles/Geom/index.html)
22:19:54	100432/100432	---M--	200	added ('OK')	application/pdf	etag:%2218850-4325219e52f80%22	http://www.normalesup.org/~sage/Colles/Geom/GeomAffine.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/Geom/GeomAffine.pdf	(from http://www.normalesup.org/~sage/Colles/Geom/index.html)
22:19:55	204588/204588	---M--	200	added ('OK')	application/pdf	etag:%2231f2c-43d0a0a436980%22	http://www.normalesup.org/~sage/Colles/Geom/Groupes.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/Geom/Groupes.pdf	(from http://www.normalesup.org/~sage/Colles/Geom/index.html)
22:20:17	181608/181608	---M--	200	added ('OK')	application/pdf	etag:%222c568-432520f956a40%22	http://www.normalesup.org/~sage/Colles/Geom/EspPreHil.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/Geom/EspPreHil.pdf	(from http://www.normalesup.org/~sage/Colles/Geom/index.html)
22:20:18	398/398	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2021%20Jan%202017%2021:20:17%20GMT	http://www.normalesup.org/~sage/Colles/0Prelimin/AxioMat.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/0Prelimin/AxioMat.pdf	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:20:19	6607/6607	---M--	200	added ('OK')	text/html	etag:%2219cf-516e8e40f8780%22	http://www.normalesup.org/~sage/Colles/index.html	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/index-2.html	(from http://www.normalesup.org/~sage/Colles/0Prelimin/index.html)
22:20:20	165629/165629	---M--	200	added ('OK')	application/pdf	etag:%22286fd-4500adda02e40%22	http://www.normalesup.org/~sage/Colles/Geom/Coniques.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/Geom/Coniques.pdf	(from http://www.normalesup.org/~sage/Colles/Geom/index.html)
22:20:21	195834/195834	---M--	200	added ('OK')	application/pdf	etag:%222fcfa-43251f987a9c0%22	http://www.normalesup.org/~sage/Colles/Geom/FormQuad.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/Geom/FormQuad.pdf	(from http://www.normalesup.org/~sage/Colles/Geom/index.html)
22:20:23	226408/226408	---M--	200	added ('OK')	application/pdf	etag:%2237468-467114df74bc0%22	http://www.normalesup.org/~sage/Colles/Geom/Diff.pdf	~/ownCloud/CPGE/Colles/Marc%20Sage/www.normalesup.org/_sage/Colles/Geom/Diff.pdf	(from http://www.normalesup.org/~sage/Colles/Geom/index.html)
